"id","name","lat","lon","trip_starts","trip_start_members","trip_start_casuals","trip_ends","trip_end_members","trip_end_casuals","total_trip_activity"
"TA1305000005","Dearborn St & Adams St",41.8793190579114,-87.6297636042895,8926,5469,3457,8700,5638,3062,17626
"13353","Ada St & Washington Blvd",41.8828387495078,-87.6611880997142,8807,5845,2962,8764,5741,3023,17571
"TA1306000011","Wells St & Walton St",41.8999453595218,-87.6344383100767,9456,5668,3788,8066,4817,3249,17522
"TA1309000027","Sheridan Rd & Buena Ave",41.9584898689439,-87.6549736961476,8831,5618,3213,8433,5502,2931,17264
"13108","Broadway & Argyle St",41.9737844231643,-87.6596696930086,8540,5268,3272,8634,5230,3404,17174
"TA1309000059","Racine Ave & Wrightwood Ave",41.9288880984266,-87.6589654533727,8530,5303,3227,8622,5203,3419,17152
"WL-011","Jefferson St & Monroe St",41.8801976933314,-87.6427044799616,8611,5617,2994,8161,5282,2879,16772
"KA1503000072","Wacker Dr & Washington St",41.8832125317289,-87.6370009035043,8524,5730,2794,8226,5632,2594,16750
"KA1504000171","Marine Dr & Ainslie St",41.9715495771201,-87.6501354063347,8356,4477,3879,8281,4412,3869,16637
"TA1305000035","State St & Van Buren St",41.8771838775236,-87.627883096141,8444,4791,3653,8071,4856,3215,16515
"TA1305000039","Marshfield Ave & Cortland St",41.916336481514,-87.6672880175305,8240,4738,3502,8168,4776,3392,16408
"13056","Canal St & Monroe St",41.8817051167191,-87.6394862577011,8495,5918,2577,7845,5388,2457,16340
"13028","900 W Harrison St",41.8747557822313,-87.6498056525589,8124,5637,2487,8129,5732,2397,16253
"WL-008","Clinton St & Roosevelt Rd",41.8671193886276,-87.6410813392775,7930,4629,3301,8273,5026,3247,16203
"13109","Broadway & Berwyn Ave",41.978330730825,-87.6597394569049,8014,5340,2674,8175,5341,2834,16189
"TA1309000001","Halsted St & Maxwell St",41.8648860447468,-87.6470698703871,7865,5111,2754,7922,5063,2859,15787
"TA1305000010","Michigan Ave & Ida B Wells Dr",41.8762446889365,-87.6244396779352,7818,2756,5062,7806,2661,5145,15624
"TA1306000008","Larrabee St & North Ave",41.9101977722747,-87.6434984848013,7916,4708,3208,7654,4486,3168,15570
"13124","Cannon Dr & Fullerton Ave",41.9267486031107,-87.6344318731932,7599,2374,5225,7667,2436,5231,15266
"13029","Field Museum",41.8653158434978,-87.6178946740863,8314,1548,6766,6889,1635,5254,15203
"KA1504000116","Larrabee St & Oak St",41.9002233815879,-87.6429858934987,7857,5572,2285,7303,5308,1995,15160
"13248","Ashland Ave & Augusta Blvd",41.8996313680249,-87.6678573330607,7699,5188,2511,7428,4976,2452,15127
"18067","Walsh Park",41.9146016503122,-87.6679686407948,7915,4589,3326,7191,4178,3013,15106
"624","Dearborn St & Van Buren St",41.8762858846154,-87.6292165797387,7852,4205,3647,7212,3855,3357,15064
"TA1307000139","MLK Jr Dr & 29th St",41.842030710876,-87.6169818487994,7650,6051,1599,7277,5752,1525,14927
"TA1307000070","Damen Ave & Thomas St (Augusta Blvd)",41.9013300959077,-87.6774211458889,7800,4484,3316,7085,4087,2998,14885
"15571","Broadway & Granville Ave",41.9947374974943,-87.6602618773117,7202,4241,2961,7402,4369,3033,14604
"TA1309000043","Southport Ave & Irving Park Rd",41.9541656192449,-87.6643397509161,7526,4776,2750,7058,4512,2546,14584
"13294","Greenview Ave & Diversey Pkwy",41.9325977755188,-87.6659357973838,7272,4085,3187,7215,4057,3158,14487
"KA1503000007","Cornell Ave & Hyde Park Blvd",41.8024648676619,-87.5869342672122,7198,4084,3114,7149,4013,3136,14347
"TA1309000011","Ellis Ave & 58th St",41.7887509789146,-87.6013282954837,7051,5393,1658,7119,5487,1632,14170
"13296","Ashland Ave & Wrightwood Ave",41.9288242483353,-87.6685048434847,6951,3756,3195,7199,3749,3450,14150
"13139","Throop St & Taylor St",41.8689398498283,-87.6591276121774,7073,5554,1519,7054,5373,1681,14127
"13319","Ashland Ave & Grace St",41.9506712905213,-87.6686849620911,7101,4166,2935,6961,3864,3097,14062
"KA1504000151","Clark St & Bryn Mawr Ave",41.9835843183357,-87.6691509063091,6759,4362,2397,7259,4563,2696,14018
"SL-010","Financial Pl & Ida B Wells Dr",41.8750258852605,-87.6330889772074,7089,4659,2430,6913,4693,2220,14002
